,id_original,tipo,problema_texto,solucion_esperada
0,3687,control,Mason has 3 cartons of 200 blueberries. He makes as many muffins as he can with 10 blueberries per muffin. Then he makes 60 cinnamon muffins. What percentage of all the muffins he made have blueberries?,"First find the total number of blueberries Mason has: 200 blueberries/carton * 3 cartons = 600 blueberries
Then divide the total number of blueberries by the number of blueberries per muffin: 600 blueberries / 10 blueberries/muffin = <<600/10=60>>60 muffins
Then add that number of muffins to the number of cinnamon muffins to find the total number of muffins: 60 muffins + 60 muffins = <<60+60=120>>120 muffins
Then divide the number of blueberry muffins by the total number of muffins and multiply by 100% to express the answer as a percentage: 60 muffins / 120 muffins * 100% = 50%
#### 50"
1,6944,control,A local business was selling 25 raffle tickets to raise money for charity.  Each ticket cost $2.00 apiece.  They sold all the tickets and also received 2 $15 donations and a $20 donation.  How much money did they raise?,"They sold 25 raffle tickets at $2.00 a piece so 25*2 = $<<25*2=50.00>>50.00
They received 2 $15.00 donations so 2*15 = $<<2*15=30>>30
With another donation of $20, in total, they raised 50+30+20 = $<<50+30+20=100.00>>100.00
#### 100"
2,6775,control,"Iris’ family is planning a surprise birthday party for her. The party will include her 3 uncles and 4 aunts who have a son and daughter each as well as her brother and mother. In total, how many people are coming to Iris’ birthday party?","Each of her aunts and uncles have a family unit of 1 son + 1 daughter + 1 aunt/uncle = <<1+1+1=3>>3 people.
Iris has a total of 3 uncles + 4 aunts = <<3+4=7>>7 aunts or uncles in these family units.
So among her aunts, uncles, and cousins, there will be 7 family units * 3 people in each family unit = <<7*3=21>>21 people.
Including her mother and brother, there will be a total of 21 people + 1 mother + 1 brother = <<21+1+1=23>>23 people coming to her party.
#### 23"
3,4816,control,"Mrs. Crocker made 11 pieces of fried chicken for Lyndee and her friends. If Lyndee only ate one piece but each of her friends got to eat 2 pieces, how many friends did Lyndee have over?","After Lyndee ate, there were 11 - 1 = <<11-1=10>>10 pieces of chicken left.
Lyndee had 10/2 = <<10/2=5>>5 friends over.
#### 5"
4,4163,control,Tom buys 20 shares of a stock that costs $3 each.  He sells 10 of those shares for $4 each.  The rest of the shares end up doubling in value.  How much profit does he make?,"He spends 3*20=$<<3*20=60>>60 on the shares.
He sells 10 for 10*4=$<<10*4=40>>40.
He sells the other 20-10=<<20-10=10>>10 for a higher valuation.
Their price was 3*2=$<<3*2=6>>6.
So he got 10*6=$<<10*6=60>>60 from those.
So in total, he got 60+40=$<<60+40=100>>100.
So his profit was 100-60=$<<100-60=40>>40.
#### 40"
5,4340,control,"Claudia offers art classes to kids and charges $10.00 for her one-hour class.  If 20 kids attend Saturday’s class and half that many attend Sunday’s class, how much money does she make?","Sunday’s class is half the size of Saturday’s class with 20 kids so Sunday has 20/2 = <<20/2=10>>10 kids
She has 20 kids on Saturday and 10 kids on Sunday for a total of 20+10 = <<20+10=30>>30 kids
She charges $10.00 per kid and teaches 30 kids over the weekend so she makes 10*30 = $<<10*30=300.00>>300.00
#### 300"
6,4785,control,"Every day, Lou works out by running three miles on a circular track that is one-quarter of a mile long.  His wife, Rosie, also runs on the same track at the same time as her husband, but she runs at twice the speed of her husband.  During their workout, how many times does Rosie circle the track?","If Lou runs 3 miles during his workout on a track that is 1/4 miles long, then he circles the track 3/(1/4)=12 times.
If Rosie runs twice as fast as Lou, then over the same time period, she runs 3*2=<<3*2=6>>6 miles.
If Rosie runs 6 miles on the 1/4 mile track, then she circles the track 6/(1/4)=<<6/(1/4)=24>>24 times.
#### 24"
7,3649,control,"Uncle Ben has 440 chickens on his farm. 39 are roosters and the rest are hens. 15 of his hens do not lay eggs, and the rest do. If each egg-laying hen lays 3 eggs, how many eggs will Uncle Ben have?","Uncle Ben has 440 chickens - 39 roosters = <<440-39=401>>401 hens.
Uncle Ben has 401 hens - 15 that don't lay eggs = <<401-15=386>>386 hens that lay eggs.
The egg-laying hens each lay 3 eggs * 386 hens = <<3*386=1158>>1158 eggs.
#### 1158"
8,4999,control,"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?","She spent 4 x $1.50 = $<<4*1.5=6>>6 for the lollipops.
She also spent 2 x $2 = $<<2*2=4>>4 for the gummies.
Therefore, Chastity was left with $15 - $10 = $<<15-10=5>>5
#### 5"
9,2810,control,"If there are four times as many red crayons as blue crayons in a box, and there are 3 blue crayons.  How many crayons total are in the box?","Red crayons: 4(3)=12
Total crayons: 12+3=<<12+3=15>>15 crayons
#### 15"
10,291,control,Mary used 15 gallons of fuel this week. Last week she used 20% less. How much fuel did she use in total for the two weeks?,"Last week, she used 15 gallons * 0.2 = <<15*0.2=3>>3 gallons less fuel than she used this week.
This means that she used 15 gallons – 3 gallons = <<15-3=12>>12 gallons of fuel last week.
In total, Mary used 15 gallons + 12 gallons = <<15+12=27>>27 gallons of fuel.
#### 27"
11,5959,control,"Lola baked 13 mini cupcakes, 10 pop tarts, and 8 blueberry pies. Meanwhile, Lulu made 16 mini cupcakes, 12 pop tarts, and 14 blueberry pies. How many pastries have Lola and Lulu made altogether?","They made 13 + 16 = <<13+16=29>>29 mini cupcakes altogether.
They made 10 + 12 = <<10+12=22>>22 pop tarts altogether.
They also made 8 + 14 = <<8+14=22>>22 blueberry pies altogether.
Therefore they made a total of 29 + 22 + 22 = <<29+22+22=73>>73 pastries altogether.
#### 73"
12,6469,control,"Twice Angie's age, plus 4, is 20. How old is Angie?","Twice Angie's age is 20-4=<<20-4=16>>16.
Angie is 16/2=<<16/2=8>>8.
#### 8"
13,1117,control,The age of Gladys is equal to twice the sum of the ages of Billy and Lucas. Billy is 3 times younger than Gladys who is 30 years old now. How old will Lucas be three years from now?,"Billy's age is 30/3 = <<30/3=10>>10 years old.
The sum of the ages of Billy and Lucas is 30/2 = <<30/2=15>>15.
So, Lucas is 15 - 10 = <<15-10=5>>5 years old now.
Therefore, Lucas will be 5 + 3 = <<5+3=8>>8 years old three years from now.
#### 8"
14,160,control,John throws a block party and splits the cost with 3 other people.  They buy 100 pounds of burgers at $3 per pound.  They also buy $80 of condiments and propane to cook everything.  John also buys all the alcohol which costs $200. How much did John spend altogether,"He splits the cost 3+1=<<3+1=4>>4 ways
100 pounds of burgers at $3 per pound makes 100*3=$<<100*3=300>>300
In addition to $80 for condiments and propane the total cost was 300+80=$<<300+80=380>>380
That means each of them paid 380/4=$<<380/4=95>>95
Then adding in the cost of alcohol, John spent 200+95=$<<200+95=295>>295
#### 295"
15,918,control,The house is 20.5 feet by 10 feet. The porch measures 6 feet by 4.5 feet. The house and the porch need shingles. How many square feet of shingles will be needed to roof the house and the porch?,"House = 20.5 * 10 = <<20.5*10=205>>205 square feet
Porch = 6 * 4.5 = <<6*4.5=27>>27 square feet
205 + 27 = <<205+27=232>>232 square feet
232 square feet of shingles will be needed.
#### 232"
16,2480,control,"A school choir needs robes for each of its 30 singers. Currently, the school has only 12 robes so they decided to buy the rest. If each robe costs $2, how much will the school spend?","The school needs to buy 30 - 12 = <<30-12=18>>18 robes.
So the school will spend 18 x $2 = $<<18*2=36>>36.
#### 36"
17,4032,control,"Paul is working at a university. He is part of a big project, which involves 70 scientists in total. Half of them are from Europe and one-fifth are from Canada. The rest are from the USA. How many scientists in this project are from the USA?","Of all the scientists taking part in the project, half of them are from Europe, which means 70 * 0.5 = <<70*0.5=35>>35 people.
The number of researchers from Canada is 70 * 1/5 = <<70*1/5=14>>14 people.
That means there are 70 - 35 - 14 = <<70-35-14=21>>21 researchers from the USA.
#### 21"
18,483,control,"Andy started out the year weighing 156 pounds. He then grew 3 inches and gained 36 pounds. Andy wasn't happy with his weight and decided to exercise. Over the next 3 months, he lost an eighth of his weight every month. How much less does Andy weigh now than at the beginning of the year?","Andy weighed 156 + 36 = <<156+36=192>>192 pounds after growing taller.
An eighth of his weight is 1/8 x 192 = <<1/8*192=24>>24 pounds.
Over the next 3 months, Andy lost 24 x 3 = <<24*3=72>>72 pounds.
He now weighs 192 - 72 = <<192-72=120>>120 pounds.
Andy weighs 156 - 120 = <<156-120=36>>36 pounds less than at the beginning of the year.
#### 36"
19,3297,control,Tom's puts 30 miles per day on his bike for the first 183 days of the year.  For the rest of the days of the year he goes 35 miles per day.  How many miles does he drive for the year?,"For the first 183 days he drives 183*30=<<183*30=5490>>5490 miles
There are 365-183=<<365-183=182>>182 days left in the year
He drives 35*182=<<35*182=6370>>6370 for those days
So in total he drives 5490+6370=<<5490+6370=11860>>11,860
#### 11860"
20,2375,reimaginado,"Captain Kael, lead archivist for the Martian Confederacy, has collected ""sqrt(100)"" data modules containing standard blue encryption. He possesses ""2^2"" fewer experimental yellow encryption modules than standard blue ones. How many data modules does Captain Kael have for the entire mission's operational requirements?","Wyatt has 10 - 4 = <<10-4=6>>6 yellow envelopes.
The total number of envelopes he has is 10 blue + 6 yellow = <<10+6=16>>16 envelopes.
#### 16"
21,4886,reimaginado,"Sir Gareth dedicates ""2^2"" practice sessions per cycle (a cycle being a terrestrial week), each session lasting ""(16/8)"" hours, to mastering his arcane blade dance. He commits to this rigorous regimen for ""(20/2)"" full decades. Considering there are ""(104/2)"" cycles in each year of his training, what is the total number of hours Sir Gareth spends honing his blade dance over the decades?","He dances 4*2=<<4*2=8>>8 hours per week
He dances for 52*10=<<52*10=520>>520 weeks
So in total he danced for 8*520=<<8*520=4160>>4160 hours
#### 4160"
22,7325,reimaginado,"In Neo-Kyoto's underground circuit, a notorious fixer named ""The Ghost"" possesses a digital signature footprint that is ""sqrt(225)"" units more prominent than that of the elusive Netrunner known as ""Whisper."" Conversely, The Ghost's footprint is ""(18/3)"" units less prominent than that of the data mogul, ""Empress Zero."" If The Ghost's signature measures ""(304/2)"" units, what is the combined prominence of Whisper's and Empress Zero's digital signatures?","Lena is 152 cm - 15 cm = <<152-15=137>>137 cm tall
Rebeca is 152 cm + 6 cm = <<152+6=158>>158 cm tall
So, the total height of Lena and Rebeca would be 137 cm + 158 cm = <<137+158=295>>295 cm.
#### 295"
23,5096,reimaginado,"Elara, the scholar-wizard, dedicates herself to deciphering ancient runic scrolls. During the ""work-cycle"" (equivalent to ""(10/2)"" days), she deciphers ""(5 * 2)"" pages daily. On the ""rest-cycle"" (equivalent to ""sqrt(4)"" days), her focus intensifies, allowing her to decipher ""(4 * 5)"" pages each day. If it requires ""sqrt(4)"" full moon phases (each phase being a standard terrestrial week) for Elara to completely unravel the entire tome of secrets, what is the total number of pages in the tome?","Two weeks has 5*2=<<5*2=10>>10 weekdays.
Two weeks has 2*2=<<2*2=4>>4 weekends.
On weekdays, she reads 10*10=<<10*10=100>>100 pages in total.
On weekends, she reads 20*4=<<20*4=80>>80 pages in total.
So the book has 100+80=<<100+80=180>>180 pages.
#### 180"
